series1,series2,log,i1test,urtest,alpha,alpha.se,beta,beta.se,rho,rho.raw,rho.se,s1.i1.stat,s1.i1.p,s2.i1.stat,s2.i1.p,r.stat,r.p,eps.ljungbox.stat,eps.ljungbox.p,s1.dsd,s2.dsd,residuals.sd,eps.sd,is.cointegrated
ABBV,ANTM,FALSE,pp,pp,-4.65099142310041,1.90716205711964,2.58752164964957,0.026408399342326,0.991068988134656,0.985847619710401,0.00459917233840523,-9.26830093619542,0.592740978291186,-6.38755969589837,0.753434261475482,-21.0927252690141,0.0473628948980047,0.666053834097935,0.414430812524826,1.00276253909197,1.87923846851221,15.3160244003143,2.55951973501018,TRUE
ABT,ANTM,FALSE,pp,pp,-104.709702561441,2.65084649440341,5.86104105636708,0.0560394167708816,0.987246168285338,0.982038711503813,0.00530151909989332,-7.82545177234266,0.673225877814931,-6.38755969589837,0.753434261475482,-25.7163904773413,0.0195009925389926,0.951570781990144,0.32931979032829,0.494599204826644,1.87923846851221,14.4556581547691,2.78223298335675,TRUE
AEE,AON,FALSE,pp,pp,-1.60033136806129,1.02764687139515,2.45621994385789,0.0204008534801164,0.989603425218795,0.984387390131837,0.00487662474618087,-19.4133062624331,0.0807155505196797,-13.3371433697099,0.365773127012186,-20.8197089904732,0.049441119568061,0.0114836203766756,0.914660734809875,0.427141377933245,1.00843839336829,6.95222391149302,1.23133106536834,TRUE
ALL,AON,FALSE,pp,pp,0.886092026050377,0.856673330315598,1.51027272979306,0.0107557528067265,0.990827578595259,0.98560708868566,0.00465181370018521,-7.07338911516069,0.715177378301109,-13.3371433697099,0.365773127012186,-20.8348933383224,0.049325534935278,0.262938226970294,0.608108701448742,0.662336131082904,1.00843839336829,6.02801190498453,1.01886894688129,TRUE
AMCR,AON,FALSE,pp,pp,-62.7579645391926,2.27486481421916,18.0972263482849,0.226754711905467,0.982471038186347,0.977280958604519,0.00607225010579781,-20.9304745811488,0.0584096518128911,-13.3371433697099,0.365773127012186,-25.5394433870181,0.0200781038522942,1.8067486230483,0.178898755813971,0.107965053041587,1.00843839336829,9.97113976027601,2.19541521397138,TRUE
AMT,AON,FALSE,pp,pp,-4.19986479899718,0.995463045645026,1.05811337769694,0.00814998006179432,0.984963621077673,0.979764470725046,0.00522236283109122,-13.7327389327209,0.34370604617058,-13.3371433697099,0.365773127012186,-30.6160422870577,0.00893450892226034,0.844959857604731,0.357982091040104,1.12768519376864,1.00843839336829,6.48509138422737,1.23002494699396,TRUE
ACN,AOS,FALSE,pp,pp,-16.6538609479728,0.416579874842216,0.542684301545776,0.00310665080222962,0.985423982538735,0.980223156882425,0.00547394169199662,-14.7868982747819,0.284903011970358,-17.2559955923574,0.14717201797736,-23.1697508773265,0.0315523876176237,0.331121227750615,0.564999613248424,1.16819428872786,0.487469074063325,2.87695873857296,0.57198683928301,TRUE
AEE,AOS,FALSE,pp,pp,-22.1741909543204,0.600038663856441,1.44269508729013,0.011924161186255,0.990356891636565,0.985138114606219,0.00486501105323596,-19.4133062624331,0.0807155505196797,-17.2559955923574,0.14717201797736,-22.2351847377017,0.038666389821256,0.406508159964539,0.523747167442769,0.427141377933245,0.487469074063325,4.06352795996388,0.717653096326016,TRUE
AMCR,AOS,FALSE,pp,pp,-57.1156284870218,1.37109574203368,10.5170158942043,0.139506748750223,0.987184835227524,0.981977601643435,0.00552430232486447,-20.9304745811488,0.0584096518128911,-17.2559955923574,0.14717201797736,-22.3989290731434,0.037419953091126,0.302210916511331,0.582499683159352,0.107965053041587,0.487469074063325,6.13456398590784,1.22833086875768,TRUE
AAPL,APD,FALSE,pp,pp,40.5643694247923,1.01843998658304,0.689031497252879,0.00692141670094374,0.987795776491932,0.982586319628448,0.00466013205329818,-9.10018066297438,0.602119050259546,-19.9679552266491,0.0725609222816607,-24.0256902302284,0.0250430291122375,1.11611682428222,0.290756141214819,1.52255902318702,1.33623501902217,8.18938286768828,1.38657198118046,TRUE
ADI,APH,FALSE,pp,pp,-0.965077827698218,0.524361545028822,1.00343548271726,0.00625133756535428,0.97935693938966,0.974178192340253,0.00616091827498856,-12.2691813992255,0.425346098354596,-8.88468897167717,0.614139590976322,-27.5207587153445,0.0136160620684673,18.0719496240453,2.12712160647666e-05,0.863863188766858,0.616029923887933,3.40635369947172,0.762231800715278,TRUE
ADSK,APH,FALSE,pp,pp,16.7055743508193,0.523889843931386,0.584707439360241,0.00482369671721823,0.988425234925652,0.983213487396851,0.00498192360527702,-8.06901770893302,0.659639301736849,-8.88468897167717,0.614139590976322,-21.159813698289,0.0468522116906168,0.785475070166422,0.375471881561439,1.43518273521945,0.616029923887933,4.43023894192927,0.801397538025424,TRUE
ALL,APH,FALSE,pp,pp,-6.31928529268393,0.456768836989381,0.984246158371468,0.0049080062110481,0.975473434490006,0.970308819922598,0.00663466690174003,-7.07338911516069,0.715177378301109,-8.88468897167717,0.614139590976322,-35.1543980251176,0.00649678732766293,3.40264346321602,0.0650920259505168,0.662336131082904,0.616029923887933,2.75066937680398,0.662914611077098,TRUE
AMT,APH,FALSE,pp,pp,-8.88336112067064,0.609532896250472,0.681548293117111,0.0049127238058405,0.984372594496765,0.979175594951909,0.00543453065719627,-13.7327389327209,0.34370604617058,-8.88468897167717,0.614139590976322,-27.2845037981906,0.0143866053153984,6.04082378134131,0.013978759993341,1.12768519376864,0.616029923887933,3.90914610646675,0.771751784386757,TRUE
AON,APH,FALSE,pp,pp,-4.60202256969493,0.474185355900473,0.62748109123389,0.0036351495001865,0.985525359390037,0.980324164812723,0.00544011315880054,-13.3371433697099,0.365773127012186,-8.88468897167717,0.614139590976322,-23.8731801607469,0.0261978201234905,0.938428625826037,0.332682286779002,1.00843839336829,0.616029923887933,3.17806044104074,0.627925184658609,TRUE
AAPL,APTV,FALSE,pp,pp,15.6766308852502,0.643216598003078,0.40593401648886,0.00401878657130128,0.981513488363591,0.976326893406086,0.00550549631532288,-9.10018066297438,0.602119050259546,-10.6330790043517,0.516611034538466,-30.8481915358909,0.00880981282752619,0.594233696368302,0.440786628552842,1.52255902318702,0.972520358089688,4.7550065713314,0.950975373915591,TRUE
ABBV,APTV,FALSE,pp,pp,16.3525790130518,0.749032043392853,0.802850105094238,0.00992593828121317,0.987532526148319,0.982324027280471,0.00504706196771861,-9.26830093619542,0.592740978291186,-10.6330790043517,0.516611034538466,-23.9293623241488,0.0257701564009356,4.59395915211444,0.0320848188962769,1.00276253909197,0.972520358089688,5.75672576517788,1.05560661305154,TRUE
ABT,APTV,FALSE,pp,pp,-16.721923196464,0.875347667564611,1.86973018883102,0.0178257211767336,0.981771544869495,0.976584010817276,0.00600619054298462,-7.82545177234266,0.673225877814931,-10.6330790043517,0.516611034538466,-32.6318644358203,0.0078517350132659,0.0109821979525862,0.916537697980692,0.494599204826644,0.972520358089688,4.59823721482737,1.0020626834126,TRUE
ANTM,APTV,FALSE,pp,pp,18.4712736851494,0.593155716469108,0.304982664149018,0.00256775410547832,0.976596560882768,0.971427859140518,0.00644895615984367,-6.38755969589837,0.753434261475482,-10.6330790043517,0.516611034538466,-35.4101055787971,0.00635943718115973,0.468392500252401,0.493727624555571,1.87923846851221,0.972520358089688,4.1093824671066,0.962689582099521,TRUE
ADI,ARE,FALSE,pp,pp,6.38638508901769,0.96065062956569,1.33904267705646,0.0122694617804405,0.986380729780243,0.981176422420287,0.0053580207701896,-12.2691813992255,0.425346098354596,-17.8601010954826,0.113473851918933,-21.4856047912182,0.0443722603476843,3.27638495326034,0.0702835813002156,0.863863188766858,0.939582274521421,6.68562944960112,1.30107892931608,TRUE
